Index_agg,Country or area,Country Code,ISO3 Alpha Code,ISO2 Alpha Code,City Code,Urban Agglomeration,Location type,Data,Sources,Statistical Concept,Note,Urban Population,Cluster
1378,Peru,604,PER,PE,22078,Lima,Capital,Urban agglomerations and capital cities,"Censuses of 1961, 1972, 1981, 1993 and 2007; Estimate for 2017.",Metropolitan area,Refers to the Province of Lima and the Constitutional Province of Callao.,Urban Population,1
1406,Philippines,608,PHL,PH,22109,Manila,Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1975, 1980, 1990, 1995, 2000, 2007, 2010 and 2015.",Metropolitan area,Refers to the National Capital Region.,Urban Population,1
1422,Portugal,620,PRT,PT,22167,Lisboa (Lisbon),Capital,Urban agglomerations and capital cities,"Censuses of 1950, 1960, 1970, 1981, 1991, 2001 and 2011.",Metropolitan area,"Refers to Grande Lisboa, the Peninsula of Setúbal, and the municipality Azambuja.",Urban Population,1
1423,Portugal,620,PRT,PT,22168,Porto,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1950, 1960, 1970, 1981, 1991, 2001 and 2011.",Urban Agglomeration,Refers to Grande Porto as defined in the 2011 census. This urban agglomeration dioes not reflect the recent expansion of Porto Metropolitan Area from 9 to 17 municipalities.,Urban Population,1
1425,Puerto Rico,630,PRI,PR,22177,San Juan,Capital,Urban agglomerations and capital cities,"Censuses of 1950, 1960, 1970, 1980, 1990, 2000 and 2010.",Metropolitan area,Refers to the Metropolitan Statistical Area. The limits of the agglomeration have been modified between 1980 and 1990.,Urban Population,1
1426,Qatar,634,QAT,QA,22179,Ad-Dawhah (Doha),Capital,Urban agglomerations and capital cities,"Censuses of 1986, 1997, 2004, 2010 and 2015; Estimates for 1962 and 1967; UN Estimates for 1956 and 1971.",Urban Agglomeration,Does not include the populations from the industrial area and zone 58.,Urban Population,1
1431,Republic of Korea,410,KOR,KR,21756,Bucheon,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1975, 1980, 1985, 1990, 2000, 2005, 2010 and 2015; UN Estimate for 1955.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1432,Republic of Korea,410,KOR,KR,21757,Busan,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1985, 1990, 1995, 2000, 2005, 2010 and 2015.",Urban Agglomeration,Data refer to the urban population of the city.,Urban Population,1
1433,Republic of Korea,410,KOR,KR,21729,Changwon,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1970, 1975, 1980, 1990, 1995, 2000, 2005, 2010 and 2015; UN Estimates for 1955 and 1966.",Urban Agglomeration,"Data refer to the cities of Changwon, Masan and Jinhen.",Urban Population,1
1434,Republic of Korea,410,KOR,KR,21730,Cheonan,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1980, 1990, 1995, 2000, 2005, 2010 and 2015.",Urban Agglomeration,Data refer to the urban population of the city.,Urban Population,1
1435,Republic of Korea,410,KOR,KR,21731,Cheongju,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1980, 1990, 2000, 2005 and 2010.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1436,Republic of Korea,410,KOR,KR,21763,Daegu,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1980, 1990, 2000, 2005 and 2010.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1437,Republic of Korea,410,KOR,KR,21764,Daejon,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1980, 1990, 2000, 2005, 2010 and 2015.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1438,Republic of Korea,410,KOR,KR,21745,Gimhae,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1980, 1990, 2000, 2005 and 2010.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1439,Republic of Korea,410,KOR,KR,23403,Goyang,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1980, 1990, 2000, 2005, 2010 and 2015.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1440,Republic of Korea,410,KOR,KR,21746,Gumi,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1980, 1990, 2000, 2005 and 2010.",City Proper,Data refer to the urban population of the city.,Urban Population,1
